,False: dropped,featureImportances
mean_acc_X,False,0.003956758134144301
mean_acc_Y,False,0.002695400708910141
mean_acc_Z,False,0.004308459289332265
mean_gyro_X,True,0.013234368849688522
mean_gyro_Y,False,0.002234279222359833
mean_gyro_Z,False,0.003556364492787458
mean_acc_xyz,True,0.005700718882238248
max_acc_X,False,0.0026586091426189238
max_acc_Y,False,0.0024560711940441945
max_acc_Z,True,0.00643659636801894
max_gyro_X,True,0.012461426558115508
max_gyro_Y,False,0.002655834362751269
max_gyro_Z,True,0.0159526209422916
max_acc_xyz,False,0.0038406284461365734
min_acc_X,False,0.003476427413257034
min_acc_Y,False,0.00226404944210423
min_acc_Z,False,0.002898415603167899
min_gyro_X,True,0.026509097023846472
min_gyro_Y,True,0.0358833206531651
min_gyro_Z,False,0.003939401045200281
min_acc_xyz,False,0.003693122010857065
var_acc_X,False,0.00247957671800501
var_acc_Y,True,0.006151938252306524
var_acc_Z,False,0.0030856291163765814
var_gyro_X,True,0.009041783137481826
var_gyro_Y,False,0.004151178402174302
var_gyro_Z,True,0.022627234449080345
var_acc_xyz,False,0.0032790007232153993
median_acc_X,True,0.005422712525073422
median_acc_Y,False,0.003519634715636738
median_acc_Z,False,0.0033929753095907505
median_gyro_X,False,0.004619993646359936
median_gyro_Y,False,0.002272441178755062
median_gyro_Z,False,0.0027139315296631095
median_acc_xyz,False,0.003778931552721092
per25_acc_X,True,0.0054683499415987815
per25_acc_Y,False,0.0027754908311691993
per25_acc_Z,False,0.0030614661130399664
per25_gyro_X,True,0.05048352066956942
per25_gyro_Y,True,0.024316316188485353
per25_gyro_Z,True,0.015937757676727858
per25_acc_xyz,False,0.00390937835961661
per75_acc_X,False,0.003153957397025389
per75_acc_Y,False,0.0031315282319940843
per75_acc_Z,False,0.0028110224218433665
per75_gyro_X,True,0.007117042216880952
per75_gyro_Y,False,0.003198203559148586
per75_gyro_Z,True,0.010263879026245823
per75_acc_xyz,True,0.006566785557613608
per_range_acc_X,False,0.0030692348609975303
per_range_acc_Y,False,0.0034318763877534578
per_range_acc_Z,False,0.00319552350329662
per_range_gyro_X,True,0.012672546386105599
per_range_gyro_Y,True,0.01586257395231436
per_range_gyro_Z,True,0.05289218637375192
per_range_acc_xyz,True,0.021021361731006164
RMS_acc_X,True,0.0050479711386254116
RMS_acc_Y,False,0.002210783205400834
RMS_acc_Z,False,0.002875832848694189
RMS_gyro_X,False,0.0030702217998039042
RMS_gyro_Y,False,0.003372460798544397
RMS_gyro_Z,True,0.009753031095977183
RMS_acc_xyz,True,0.004854849561083522
coef_acc_xy,False,0.0038891149167605155
coef_acc_xz,False,0.002168833198495812
coef_acc_yz,False,0.004449810082231736
coef_gyro_xy,True,0.005297538983074719
coef_gyro_xz,True,0.006710199846549886
coef_gyro_yz,True,0.019565476672440536
PB0-5acc_X,False,0.004088189286608667
PB5-10acc_X,False,0.0032077851144004296
PB10-15acc_X,False,0.0021585421189441165
PB15-20acc_X,False,0.001994581189727409
PB20-25acc_X,False,0.004014069987487334
PB25-30acc_X,False,0.0017013342215276106
PB30-35acc_X,False,0.0014208328049015461
PB35-40acc_X,False,0.003356100608998794
PB40-45acc_X,True,0.006891941461228884
PB45-50acc_X,False,0.001722326856205274
PB0-5acc_Y,False,0.0029241127093150468
PB5-10acc_Y,False,0.0029164000473271318
PB10-15acc_Y,False,0.003231090031889801
PB15-20acc_Y,False,0.00248246679208802
PB20-25acc_Y,True,0.02167689428764571
PB25-30acc_Y,False,0.0016399887851105963
PB30-35acc_Y,False,0.0017092764104466856
PB35-40acc_Y,False,0.001643717618622577
PB40-45acc_Y,True,0.004663538154877655
PB45-50acc_Y,True,0.008608186656666218
PB0-5acc_Z,False,0.0022994471545367454
PB5-10acc_Z,False,0.0032891547540470096
PB10-15acc_Z,False,0.002142934377686804
PB15-20acc_Z,False,0.0033442960857589642
PB20-25acc_Z,False,0.0022777946972757893
PB25-30acc_Z,False,0.0018434027590619488
PB30-35acc_Z,False,0.0022610305036799058
PB35-40acc_Z,False,0.001976859033481214
PB40-45acc_Z,False,0.0024242232420037717
PB45-50acc_Z,False,0.0019076165449091432
PB0-5gyro_X,False,0.0024506665813186154
PB5-10gyro_X,True,0.004855495001154143
PB10-15gyro_X,True,0.01078250505701095
PB15-20gyro_X,True,0.007425707236643916
PB20-25gyro_X,True,0.014911297362787701
PB25-30gyro_X,False,0.0019687735923508225
PB30-35gyro_X,False,0.003934262678240128
PB35-40gyro_X,False,0.0030436766190985176
PB40-45gyro_X,True,0.010848724532923971
PB45-50gyro_X,True,0.008830691805338022
PB0-5gyro_Y,False,0.002015849407905077
PB5-10gyro_Y,False,0.0034820065423951225
PB10-15gyro_Y,False,0.002850945322704891
PB15-20gyro_Y,True,0.006080548851777234
PB20-25gyro_Y,True,0.004632824266108995
PB25-30gyro_Y,False,0.0023931994011424378
PB30-35gyro_Y,False,0.0020460423398306823
PB35-40gyro_Y,False,0.0030494919688973912
PB40-45gyro_Y,True,0.009143945960283124
PB45-50gyro_Y,True,0.006036171878873103
